0,pntvw10.txt,0,The Point of View,01-10-2001
1,morem10.txt,1,Moral Emblems,1997-01-01
2,mspcd10.txt,2,Miscellaneous Papers,1998-08-01
3,penbr10.txt,3,The Pension Beaurepas,2001-07-01
4,pgjr10.txt,4,Pages from a Journal with Other Papers,2004-12-01
5,prcpg10.txt,5,The Prince and the Page: A Story of the Last Crusade,2003-01-01
6,prhsb10.txt,6,The Pursuit of the House-Boat,2002-04-01
7,rlsl110.txt,1,The Letters of Robert Louis Stevenson — Volume 1,1996-08-01
8,rlsl210.txt,1,The Letters of Robert Louis Stevenson — Volume 2,1996-08-01
9,rmlav10.txt,7,"Romano Lavo-Lil: Word Book of the Romany; Or, English Gypsy Language&#13; With Specimens of Gypsy Poetry, and an Account of Certain Gypsyries or Places Inhabited by Them, and of Various Things Relating to Gypsy Life in England",2001-07-01
10,prhg10.txt,8,Present at a Hanging and Other Ghost Stories,2003-08-01
