0,G-1_Corinthians.txt,unknown,The First Letter of Paul to the Corinthians,unknown,"[39812,72737,135030]"
1,G-1_John.txt,unknown,The First Letter of John,unknown,[]
2,G-1_Thessalonians.txt,unknown,The First Letter of Paul to the Thessalonians,unknown,"[2155,131471,135030]"
3,G-1_Peter.txt,unknown,The First Letter of Peter ,unknown,[]
4,G-1_Timothy.txt,unknown,The First Letter of Paul to Timothy ,unknown,"[62952,135030]"
5,G-2_Corinthians.txt,unknown,The Second Letter of Paul to the Corinthians,unknown,"[5612,93270,124189,132858]"
6,pntvw10.txt,Henry James,The Point of View,01-10-2001,"[3477,5612,9002,9296,27734,51202,56758,56987,56988,57769,59661,93270,93489,98646,98855,99008,120548,120635,120648,120697,120797,121651,121871,121973,122134,122344,122489,122529,122735,122930,122969,123431,123659,123754,123915,123923,123965,124281,124414,124780,125174,125180,125221,125462,125678,126344,126570,126946,127105,127261,127342,127597,127799,128083,128253,128346,128433,128463,128538,128834,128837,128899,129221,129835,129896,130301,130405,130998,131017,132466,134827,135028,135158,136353]"
7,12653.txt,"Lodge, Henry Cabot","George Washington, Volume II",2004-06-01,"[1523,3477,3497,4084,4129,4240,5612,6029,6639,8602,8658,8738,8805,8826,8955,9019,9229,9296,26545,32951,47556,48534,49010,50540,51202,52518,56758,56987,56988,57038,57710,58081,58121,58259,58703,59104,59352,59444,59473,59661,59702,70791,84879,93270,93507,93517,93578,93831,95258,95259,95260,95261,98855,99537,102977,114056,118259,120341,120370,120460,120483,120491,120499,120526,120531,120621,120635,120636,120676,120697,120754,120797,121160,121541,121651,121661,121686,121748,121767,121791,121793,121794,121810,121829,121842,121850,121926,121927,121952,121973,121977,121978,122116,122134,122176,122186,122227,122229,122241,122290,122344,122387,122454,122529,122583,122624,122663,122664,122681,122692,122712,122713,122716,122735,122780,122864,122897,122931,122934,122947,122969,122984,122996,123058,123074,123130,123152,123199,123227,123246,123276,123326,123447,123476,123546,123569,123596,123600,123606,123627,123659,123679,123739,123754,123807,123812,123864,123874,123923,123964,123965,123980,124063,124067,124124,124125,124174,124178,124182,124189,124209,124246,124392,124414,124512,124642,124674,124692,124702,124720,124729,124743,124828,124830,124877,124904,124960,124974,124999,125069,125180,125185,125221,125271,125333,125355,125438,125462,125511,125560,125593,125609,125610,125620,125631,125678,125702,125735,125825,125916,125924,125925,126013,126068,126107,126108,126132,126206,126284,126344,126498,126554,126565,126570,126609,126746,126788,126807,126946,126954,127017,127035,127102,127105,127106,127120,127181,127230,127302,127322,127379,127427,127448,127457,127479,127483,127501,127506,127597,127664,127689,127794,127807,127824,127866,127868,127900,127919,128083,128088,128138,128188,128206,128208,128235,128306,128308,128312,128346,128359,128371,128415,128428,128429,128450,128459,128464,128465,128554,128619,128630,128716,128749,128761,128762,128774,128775,128776,128792,128804,128814,128837,128850,128890,128899,128902,128998,128999,129058,129087,129111,129122,129153,129162,129185,129230,129314,129326,129333,129404,129512,129533,129576,129698,129703,129747,129752,129761,129813,129824,129842,129843,129889,129891,129896,129948,129976,129978,129985,129994,130063,130109,130123,130168,130390,130392,130405,130407,130432,130531,130572,130726,130730,130768,130855,130900,130916,131017,131054,131189,131219,131237,131257,131332,131347,131438,131442,131458,131474,131511,131785,131951,131958,132023,132063,132102,132119,132466,132471,132633,132673,132695,132743,132746,132758,132762,132808,132840,132846,132848,132858,132911,132974,133119,133157,133350,133442,133695,133729,133767,134320,134345,134473,134513,134622,134624,134761,134811,134827,134940,135012,135028,135078,135081,135100,135113,135172,135195,135222,135321,135331,135424,135482,135492,135526,135540,135558,135594,135777,135800,135804,135852,135968,136169,136262,136353,136517,137971,138148,138187]"
8,10022.txt,"Bueltmann, A. J.",White Queen of the Cannibals: the Story of Mary Slessor of Calabar,2003-11-01,"[1487,5612,7505,9068,10331,54429,58578,59073,72737,80220,84161,91805,91943,93270,95191,96959,115659,116712,120697,121050,121609,122468,122969,123411,123620,124189,125187,125227,125779,125970,126275,126479,127920,128121,128807,128829,129025,129280,129969,130614,130885,132858,133350,134869,135286,135350,135461,136002,138167]"
9,12668.txt,"Collins, David","An Account of the English Colony in New South Wales, Volume 2&#13; An Account Of The English Colony In New South Wales, From Its First Settlement In 1788, To August 1801: With Remarks On The Dispositions, Customs, Manners, Etc. Of The Native Inhabitants Of That Country. To Which Are Added, Some Particulars Of New Zealand; Compiled, By Permission, From The Mss. Of Lieutenant-Governor King; And An Account Of The Voyage Performed By Captain Flinders And Mr. Bass.",2004-06-01,[]
10,12670.txt,"Strachey, Lytton",Landmarks in French Literature,2004-06-01,"[1704,3962,4453,5133,5154,5771,6350,7454,8742,8788,8900,8937,9061,9244,9245,9726,10331,26821,27734,30989,35741,35742,40076,48447,48521,49338,49464,50572,52385,52960,52961,53387,53721,54032,55710,56173,56691,58157,59352,59933,60281,92983,93332,93551,98385,98386,98387,103563,105361,113130,114839,120443,120491,120691,120697,120741,120757,120877,121104,121294,121616,121662,121686,121757,121783,122190,122229,122241,122251,122340,122345,122387,122685,122786,122806,122910,122925,122947,122981,123045,123098,123201,123414,123746,123812,123838,124067,124189,124642,124678,124722,124934,124957,124979,125224,125413,125568,125609,125610,125916,126002,126096,126714,127047,127140,127174,127598,127661,127772,127819,127872,128178,128208,128296,128443,128497,129093,129102,129105,129371,129402,129505,129813,129828,130442,130613,130692,130759,130762,130893,130894,131191,131213,131408,131434,131645,131700,132164,132460,132658,132663,132762,132858,132905,132973,133050,133338,133418,133729,133784,134331,134337,134345,134427,134473,134672,134695,134933,135055,135081,135331,135504,135724,135797,136125,136130,136164,136169]"
